Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
DG11 1TJ,Yes,55.197757,-3.471575,306428,590264,NY064902,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",9,3,"","","Lockerbie - 06","Remote rural area",,89,,S01007640,,S02001436,"Lockerbie",,S00097150,S14000014,3614,1,0,2020-02-19,"Lockerbie",11.1827,DG,DG11,"Scotland","Scottish Water",9C7R5GXH+49,
DG11 1TL,Yes,55.161464,-3.46297,306891,586214,NY068862,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",6,4,"","","Mid Nithsdale - 03","Accessible rural area",,65,,S01007566,,S02001421,"Mid Nithsdale",,S00098213,S14000014,3628,1,0,2020-02-19,"Lockerbie",8.156,DG,DG11,"Scotland","Scottish Water",9C7R5G6P+HR,
DG11 1TN,Yes,55.175903,-3.475889,306102,587838,NY061878,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",12,6,"","","Mid Nithsdale - 03","Accessible rural area",,79,,S01007566,,S02001421,"Mid Nithsdale",,S00098213,S14000014,3628,1,0,2020-02-19,"Lockerbie",9.7389,DG,DG11,"Scotland","Scottish Water",9C7R5GGF+9J,
DG11 1TP,Yes,55.199689,-3.485677,305535,590498,NY055904,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",13,5,"","","Mid Nithsdale - 03","Accessible rural area",,90,,S01007566,,S02001421,"Mid Nithsdale",,S00098213,S14000014,3628,1,0,2020-02-19,"Lockerbie",11.9531,DG,DG11,"Scotland","Scottish Water",9C7R5GX7+VP,
DG11 1TQ,Yes,55.167211,-3.44787,307866,586834,NY078868,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",5,2,"","","Lochmaben - 04","Accessible rural area",,56,,S01007634,,S02001435,"Lochmaben",,S00097145,S14000014,3818,1,0,2020-02-19,"Lockerbie",7.74358,DG,DG11,"Scotland","Scottish Water",9C7R5H82+VV,
DG11 1TR,Yes,55.2017,-3.492462,305108,590731,NY051907,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",26,8,"","","Mid Nithsdale - 03","Accessible rural area",,121,,S01007566,,S02001421,"Mid Nithsdale",,S00098213,S14000014,3628,1,0,2020-02-19,"Lockerbie",12.4153,DG,DG11,"Scotland","Scottish Water",9C7R6G25+M2,
DG11 1TS,Yes,55.208027,-3.49174,305169,591434,NY051914,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",5,2,"","","Mid Nithsdale - 03","Accessible rural area",,150,,S01007566,,S02001421,"Mid Nithsdale",,S00098213,S14000014,3628,1,0,2020-02-19,"Lockerbie",12.8881,DG,DG11,"Scotland","Scottish Water",9C7R6G55+68,
DG11 1TT,Yes,55.201226,-3.499625,304651,590688,NY046906,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",20,9,"","","Mid Nithsdale - 03","Accessible rural area",,132,,S01007566,,S02001421,"Mid Nithsdale",,S00098213,S14000014,3628,1,0,2020-02-19,"Lockerbie",12.7062,DG,DG11,"Scotland","Scottish Water",9C7R6G22+F5,
DG11 1TU,Yes,55.193235,-3.512112,303837,589816,NY038898,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",34,9,"","","Mid Nithsdale - 03","Accessible rural area",,109,,S01007566,,S02001421,"Mid Nithsdale",,S00098213,S14000014,3628,1,0,2020-02-19,"Lockerbie",12.7343,DG,DG11,"Scotland","Scottish Water",9C7R5FVQ+75,
DG11 1TW,Yes,55.18438,-3.483835,305616,588792,NY056887,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1980-01-01,,"","",2,1,"","","Mid Nithsdale - 03","Accessible rural area",,74,,S01007566,,S02001421,"Mid Nithsdale",,S00098213,S14000014,3628,1,0,2020-02-19,"Lockerbie",10.718,DG,DG11,"Scotland","Scottish Water",9C7R5GM8+QF,
DG11 1TX,Yes,55.162885,-3.44103,308292,586343,NY082863,"","Dumfries and Galloway","Annandale North",S12000006,S13002890,Scotland,S99999999,"Dumfriesshire, Clydesdale and Tweeddale",1990-02-01,,"","",5,4,"","","Lochmaben - 04","Accessible rural area",,56,,S01007634,,S02001435,"Lochmaben",,S00097145,S14000014,3818,1,0,2020-02-19,"Lockerbie",7.10384,DG,DG11,"Scotland","Scottish Water",9C7R5H75+5H,
